Field=#~Integer~#~50|Field=Fitted~String~Fitted~100|Field=Designator~String~Designator~100|Field=Quantity~Integer~Quantity~100|Field=Value~String~Value~100|Field=Manufacturer~String~Manufacturer~100|Field=MPN~String~MPN~100|Field=Description~String~Description~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~16-07349-R5_SAM_L10_XPro.PrjPcb|ReportField=ProjectFullPath~D:\ALTIUM_WORK\00001_MCHP-CDB\Boards\Boards\16-07349\PCB Files\Rev5\Project Files\SAM L10\16-07349-R5_SAM_L10_XPro.PrjPcb|ReportField=Title~Bill of Materials Fitted For Variant [Default] of Project [16-07349-R5_SAM_L10_XPro.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~204|ReportField=ReportTime~2:32:51 PM|ReportField=ReportDate~7/6/2018|ReportField=ReportDateTime~7/6/2018 2:32:51 PM|ReportField=OutputName~Bill of Materials Fitted|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~Default|ReportField=ProjectBoardNumber~07349_L10|ReportField=ProjectDrawnBy~Roger Hathaway|ReportField=ProjectEngineer~Roger Hathaway|ReportField=ProjectPartNumber~07-07349_L10|ReportField=ProjectRevisionART~5|ReportField=ProjectRevisionASSY~5|ReportField=ProjectRevisionFAB~5|ReportField=ProjectRevisionSCH~5|ReportField=ProjectTitle~SAM L10 Xplained Pro|ReportField=Address1~2355 West Chandler Blvd.|ReportField=Address2~Chandler, AZ  85224|ReportField=Address3~|ReportField=Address4~USA|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~Microchip Technology Inc.|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~7/6/2018|ReportField=CurrentTime~2:31:15 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\ALTIUM_WORK\00001_MCHP-CDB\Boards\Boards\16-07349\PCB Files\Rev5\Project Files\SAM L10\SHT_1_Top Level_07349-R5_L10.SchDoc|ReportField=DocumentName~SHT_1_Top Level_07349-R5_L10.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~6/25/2018|ReportField=Organization~Microchip Technology|ReportField=ProjectName~16-07349-R5_SAM_L10_XPro.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTitle~Top Level Block Diagram|ReportField=SheetTotal~9|ReportField=Time~Time|ReportField=Title~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~16-07349-R5_SAM_L10_XPro.PrjPcb|ReportField=DataSourceFullPath~D:\ALTIUM_WORK\00001_MCHP-CDB\Boards\Boards\16-07349\PCB Files\Rev5\Project Files\SAM L10\16-07349-R5_SAM_L10_XPro.PrjPcb|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
65|Fitted|R402|1|33k|ASJ|CR10-3302-FK|Thick film resistor, SMD 0402, 1/16W, 1%
66|Fitted|R403, R404|2|4.7k|PHYCOMP|2322 706 74702L|Thick film resistor, SMD 0402, 1/16W, 1%
67|Fitted|R501, R504|2|100R|Panasonic|ERA3YEB101V|ERA-3YEB101V, metal film, 100R Â±0.1%, resistor in 0603 at 100mW, TEMPCO Â±25ppm/Â°C, Max V=75V
68|Fitted|R502|1|2k|YAGEO CORP|RC0603FR-072KL|Thick film resistor, SMD 0603, 1/10W, 1%
69|Fitted|R503|1|0.1R|vishay|WSL0603R1000FEA|WSL0603R1000FEA, metal strip resistor, 0.1 Ohm, +-1%, 0603 SMD, 1/10 W, TEMPCO +-75 ppm/Â°C
70|Fitted|R506|1|680R|ASJ|CR10-6800-FK|Thick film resistor, SMD 0402, 1/16W, 1%
71|Fitted|R507, R508, R509, R705|4|10k|Vishay|CRCW040210K0FKED|Thick film resistor, SMD 0402, 1/16W, 1%
72|Fitted|R600, R609|2|4.7M|YAGEO CORP|RC0402FR-074M7L|Thick film SMD 0402 1/16W 1%
73|Fitted|R607|1|2.2k|YAGEO CORP|RC0402FR-072K2L|Thick film resistor, SMD 0402, 1/16W, 1%
74|Fitted|R700|1|2.2k|ASJ|CR10-2201-FK|Thick film resistor, SMD 0402, 1/16W, 1%
75|Fitted|SW700, SW701|2|TS604VM1-035CR|Dailywell Electronics Co.LTD|TS604VM1-035CR-R|SWITCH, SMD, 260gf, 6.4mm X 6.2mm
76|Fitted|TEST1|1|SAM L10 Xplained Pro test|||Fixture test for SAM L10 Xplained Pro
77|Fitted|TESTDOC1|1|SAM L10 Xplained Pro Test Instructions|||SAM L10 Xplained Pro Test Instructions
78|Fitted|U100|1|TPS73533DRV|Texas Instruments|TPS73533DRV|Low noise LDO, 500 mA, Vout=3.3V, 2% accuracy, IQ=46uA, noise=28uVrms, VIN= 2.7V to 6.5V, Vdo=280mV,stable with low ESR capacitor
79|Fitted|U101|1|TLV70033DSE|Texas Instruments|TLV70033DSE|LDO, 200 mA, Iq=31 uA, Vdo=250mV, Vout=3.3V, VIN= 2 V to 5.5V, SON-6 package
80|Fitted|U200|1|AT32UC3A4256J-C1UR|ATMEL|AT32UC3A4256J-C1UR|EDBG controller
81|Fitted|U300|1|ATECC508A I2C UDFN|MICROCHIP|ATECC508A-MAHDA-T|ATECC508A with an I2C Interface and a 8 Pin UDFN Package with Paddle
82|Fitted|U301|1|ATSAML10E16A-AU|Microchip|ATSAML10E16A-AU|32 Bit Ultra Low Power MCU w/ 64K Flash
83|Fitted|U400|1|LM4041CEM3-ADJ/NOPB|Texas Instruments|LM4041CEM3-ADJ/NOPB|Adjustable shunt voltage regulator, 1.24 to 10V out
84|Fitted|U401|1|SAMD20E17A-AUT|ATMEL|ATSAMD20E17A-AUT|Atmel 32bit RISC MCU 32 pin
85|Fitted|U500|1|ADA4528-1|Analog Devices|ADA4528-1ARMZ|Precision OpAmp, Zero-Drift 0.015uV/K, ultra low noise 5.6nV/sqrt(Hz), Vo=2uV, GBW=4MHz, single supply 2.2V to 5.5V or dual supply +-1V to +-2.75V, rail to rail, unity gain stable
